ticker,date,score_100,score_nonlinear,20거래일(약1개월),60거래일(약3개월),120거래일(약6개월)
012330.KS,2023-01-30,19.4,93.1,3.6319612590798966,15.012106537530268,16.22276029055689
012330.KS,2023-02-27,45.8,93.6,-0.2336448598130869,6.074766355140193,7.476635514018692
012330.KS,2023-03-28,29.8,95.9,11.24121779859484,3.512880562060894,11.007025761124112
012330.KS,2023-04-25,72.5,76.7,-4.421052631578948,1.0526315789473717,-8.421052631578952
012330.KS,2023-05-25,26.9,94.1,-2.643171806167399,1.3215859030837107,1.982378854625555
012330.KS,2023-06-26,19.8,96.8,8.597285067873294,7.239819004524883,1.1312217194570096
012330.KS,2023-07-24,49.8,81.1,-4.166666666666663,-9.375,-16.833333333333332
012330.KS,2023-08-22,17.8,96.2,3.04347826086957,0.6521739130434856,4.347826086956519
012330.KS,2023-09-19,46.6,95.1,-8.227848101265822,-5.696202531645566,6.7510548523206815
012330.KS,2023-10-24,14.0,94.7,6.436781609195408,-8.229885057471265,8.045977011494255
012330.KS,2023-11-21,35.5,95.2,-3.455723542116629,3.6717062634989306,-3.455723542116629
012330.KS,2023-12-19,22.6,97.1,-10.693512304250564,13.19910514541387,8.277404921700215
012330.KS,2024-01-19,12.8,92.7,20.240480961923858,17.73547094188377,14.72945891783568
012330.KS,2024-02-20,46.9,87.2,5.41666666666667,-6.874999999999998,-9.166666666666668
012330.KS,2024-03-20,62.6,70.6,-7.114624505928857,-4.347826086956519,-15.612648221343871
012330.KS,2024-04-18,17.3,95.3,-4.893617021276597,-2.553191489361706,4.042553191489362
012330.KS,2024-05-21,12.4,94.7,8.277404921700215,-2.460850111856827,12.527964205816543
012330.KS,2024-06-19,46.6,88.2,-5.371900826446286,-11.776859504132233,0.8264462809917328
012330.KS,2024-07-17,18.9,93.4,-4.80349344978166,6.768558951965065,10.698689956331876
012330.KS,2024-08-14,18.5,95.2,-2.064220183486243,15.366972477064223,13.761467889908264
012330.KS,2024-09-12,34.4,94.9,14.519906323185005,14.28571428571428,26.463700234192046
012330.KS,2024-10-18,68.7,77.8,2.862985685071573,3.6809815950920255,-2.0449897750511203
012330.KS,2024-11-15,62.2,76.5,-2.982107355864816,-1.391650099403574,-0.7952286282306154
012330.KS,2024-12-13,35.9,95.2,3.893442622950816,10.655737704918034,22.745901639344268
012330.KS,2025-01-15,40.4,93.7,-2.1696252465483234,-5.522682445759363,20.512820512820507
012330.KS,2025-02-18,22.3,96.7,8.870967741935477,0.6048387096774244,20.56451612903225
012330.KS,2025-03-19,68.6,79.7,-11.296296296296294,10.925925925925917,17.037037037037027
012330.KS,2025-04-16,14.0,94.3,4.175365344467652,27.55741127348643,28.601252609603332
012330.KS,2025-05-19,25.4,94.5,20.04008016032064,19.839679358717444,19.43887775551103
012330.KS,2025-06-18,74.8,69.9,2.003338898163598,5.509181969949917,26.043405676126884
012330.KS,2025-07-16,54.5,72.2,-2.127659574468088,0.8183306055646433,47.299509001636665
028260.KS,2022-09-01,29.7,94.0,-8.54700854700855,4.2735042735042805,-4.786324786324792
